location_name,location_code,week_start,pda_water_ng_ml,tda_water_ng_ml,pn_total_cells_l,pn_seriata_cells_l,alexandrium_cells_l,dinophysis_cells_l,total_phyto_cells_l,insitu_sst_c,insitu_chl_mg_m3,nitrate_um,silicate_um,n_samples,hazard_truth_status,insitu_physical_status
Bodega Marine Lab Buoy,BBB,2020-02-17,,,107.0,101.0,0.0,1.0,1030.0,,,,,1,partial,none
Bodega Marine Lab Buoy,BBB,2020-06-22,,,365.0,299.0,0.0,5.0,51565.0,,,,,1,partial,none
Bodega Marine Lab Buoy,BBB,2020-07-27,,,2.0,0.0,0.0,55.0,2291.0,,,,,1,partial,none
Bodega Marine Lab Buoy,BBB,2020-08-24,,,533.0,468.0,0.0,13.0,16859.0,,,,,1,partial,none
Bodega Marine Lab Buoy,BBB,2020-08-31,,,53.0,49.0,0.0,144.0,1760.0,,,,,1,partial,none
Bodega Marine Lab Buoy,BBB,2020-10-12,,,89.0,85.0,19.0,16.0,1171.0,,,,,1,partial,none
Bodega Marine Lab Buoy,BBB,2020-11-09,,,16.0,9.0,0.0,1.0,215.0,,,,,1,partial,none
Bodega Marine Lab Buoy,BBB,2020-12-07,,,162.0,154.0,30.0,40.0,837.0,,,,,1,partial,none
Bodega Marine Lab Buoy,BBB,2021-01-18,,,25.0,17.0,0.0,6.0,374.0,,,,,1,partial,none
Bodega Marine Lab Buoy,BBB,2021-02-15,,,233.0,120.0,0.0,1.0,3605.0,,,,,1,partial,none
Bodega Marine Lab Buoy,BBB,2021-03-15,,,1887.0,1740.0,0.0,0.0,68650.0,,,,,1,partial,none
Bodega Marine Lab Buoy,BBB,2021-04-26,,,354.0,184.0,0.0,0.0,17687.0,,,,,1,partial,none
Bodega Marine Lab Buoy,BBB,2021-05-10,,,3063.0,582.0,0.0,0.0,342750.0,,,,,1,partial,none
Bodega Marine Lab Buoy,BBB,2021-06-07,,,147.0,34.0,0.0,0.0,13544.0,,,,,1,partial,none
Bodega Marine Lab Buoy,BBB,2021-07-26,,,32.0,6.0,18.0,21.0,973.0,,,,,1,partial,none
Bodega Marine Lab Buoy,BBB,2021-08-16,,,16.0,5.0,18.0,13.0,370.0,,,,,1,partial,none
Bodega Marine Lab Buoy,BBB,2021-09-13,,,28.0,16.0,22.0,7.0,1186.0,,,,,1,partial,none
Bodega Marine Lab Buoy,BBB,2021-10-11,,,171.0,164.0,9.0,4.0,1341.0,,,,,1,partial,none
Bodega Marine Lab Buoy,BBB,2021-11-08,,,20.0,11.0,9.0,13.0,670.0,,,,,1,partial,none
Bodega Marine Lab Buoy,BBB,2021-12-27,,,1.0,1.0,0.0,0.0,74.0,,,,,1,partial,none
Bodega Marine Lab Buoy,BBB,2022-02-21,,,15.0,9.0,0.0,0.0,2340.0,,,,,1,partial,none
Bodega Marine Lab Buoy,BBB,2022-03-07,,,155.0,113.0,0.0,1.0,12268.0,,,,,1,partial,none
Bodega Marine Lab Buoy,BBB,2022-05-23,,,17.0,2.0,0.0,0.0,4263.0,,,,,1,partial,none
Bodega Marine Lab Buoy,BBB,2022-07-25,,,300.0,132.0,0.0,2.0,9188.0,,,,,1,partial,none
Bodega Marine Lab Buoy,BBB,2022-08-29,,,12.0,2.0,6.0,24.0,217.0,,,,,1,partial,none
Bodega Marine Lab Buoy,BBB,2022-09-19,,,56.0,7.0,0.0,51.0,2408.0,,,,,1,partial,none
Bodega Marine Lab Buoy,BBB,2022-10-31,,,12.0,7.0,3.0,1.0,261.0,,,,,1,partial,none
Bodega Marine Lab Buoy,BBB,2022-11-14,,,16.0,11.0,20.0,9.0,496.0,,,,,1,partial,none
Bodega Marine Lab Buoy,BBB,2022-12-19,,,30.0,24.0,10.0,8.0,1892.0,,,,,1,partial,none
Bodega Marine Lab Buoy,BBB,2023-01-23,,,2.0,1.0,0.0,0.0,117.0,,,,,1,partial,none
Bodega Marine Lab Buoy,BBB,2023-02-20,,,3.0,3.0,0.0,1.0,2813.0,,,,,1,partial,none
Bodega Marine Lab Buoy,BBB,2023-03-27,,,21.0,21.0,0.0,0.0,1469.0,,,,,1,partial,none
Bodega Marine Lab Buoy,BBB,2023-04-24,,,144.0,144.0,0.0,0.0,5325.0,,,,,1,partial,none
Bodega Marine Lab Buoy,BBB,2023-05-22,,,417.0,417.0,0.0,0.0,15382.0,,,,,1,partial,none
Bodega Marine Lab Buoy,BBB,2023-06-05,,,465.0,465.0,0.0,0.0,42576.0,,,,,1,partial,none
Bodega Marine Lab Buoy,BBB,2023-07-31,,,3964.0,2064.0,15.0,0.0,22571.0,,,,,1,partial,none
Bodega Marine Lab Buoy,BBB,2023-08-14,,,0.0,0.0,4.0,116.0,1154.0,,,,,1,partial,none
Bodega Marine Lab Buoy,BBB,2023-09-04,,,0.0,0.0,0.0,345.0,3390.0,,,,,1,partial,none
Bodega Marine Lab Buoy,BBB,2023-10-02,,,0.0,0.0,0.0,4.0,546.0,,,,,1,partial,none
Bodega Marine Lab Buoy,BBB,2023-11-27,,,63.0,42.0,195.0,25.0,2726.0,,,,,1,partial,none
Bodega Marine Lab Buoy,BBB,2024-01-29,,,0.0,0.0,0.0,1.0,62.0,,,,,1,partial,none
Bodega Marine Lab Buoy,BBB,2024-03-18,,,961.0,868.0,0.0,0.0,40248.0,,,,,1,partial,none
Bodega Marine Lab Buoy,BBB,2024-05-13,,,225.0,101.0,0.0,0.0,14268.0,,,,,1,partial,none
Bodega Marine Lab Buoy,BBB,2024-08-26,,,5200.0,0.0,29.0,22.0,7183.0,,,,,1,partial,none
Bodega Marine Lab Buoy,BBB,2024-09-30,,,0.0,0.0,0.0,4.0,11518.0,,,,,1,partial,none
Bodega Marine Lab Buoy,BBB,2025-01-13,,,0.0,0.0,0.0,13.0,19783.0,,,,,1,partial,none
Bodega Marine Lab Buoy,BBB,2025-02-17,,,0.0,0.0,0.0,0.0,142.0,,,,,1,partial,none
Bodega Marine Lab Buoy,BBB,2025-03-17,,,226.0,26.0,0.0,0.0,2859.0,,,,,1,partial,none
Bodega Marine Lab Buoy,BBB,2025-07-21,,,0.0,0.0,0.0,25.0,8713.0,14.7,,,,1,partial,partial
Bodega Marine Lab Buoy,BBB,2025-09-29,,,4.0,0.0,0.0,4.0,193.0,,,,,1,partial,none
Bodega Marine Lab Buoy,BBB,2025-10-27,,,0.0,0.0,352.0,54.0,3369.0,,,,,1,partial,none
