location_code,week_start,cells,cells_log10,da,da_cat,cens,lod,t_days,t_years
CPP,2004-04-05,,,1.0,1.0,1.0,1.0,0,0.0
CPP,2004-04-12,,,1.0,1.0,1.0,1.0,7,0.019164955509924708
CPP,2004-04-19,,,1.0,1.0,1.0,1.0,14,0.038329911019849415
CPP,2004-04-26,,,1.0,1.0,1.0,1.0,21,0.057494866529774126
CPP,2004-05-03,,,1.0,1.0,1.0,1.0,28,0.07665982203969883
CPP,2004-05-17,,,1.0,1.0,1.0,1.0,42,0.11498973305954825
CPP,2005-05-23,,,1.0,1.0,1.0,1.0,413,1.1307323750855578
CPP,2005-05-30,,,1.0,1.0,1.0,1.0,420,1.1498973305954825
CPP,2005-06-13,,,1.0,1.0,1.0,1.0,434,1.1882272416153319
CPP,2005-06-27,,,1.0,1.0,1.0,1.0,448,1.2265571526351813
CPP,2005-07-11,,,1.0,1.0,1.0,1.0,462,1.264887063655031
CPP,2005-08-29,,,1.0,1.0,1.0,1.0,511,1.3990417522245038
CPP,2006-01-30,,,1.0,1.0,1.0,1.0,665,1.8206707734428473
CPP,2006-03-13,,,1.0,1.0,1.0,1.0,707,1.9356605065023955
CPP,2006-03-20,,,1.0,1.0,1.0,1.0,714,1.9548254620123204
CPP,2006-03-27,,,1.0,2.0,0.0,,721,1.9739904175222451
CPP,2006-04-03,,,1.0,1.0,1.0,1.0,728,1.9931553730321698
CPP,2006-04-10,,,1.0,1.0,1.0,1.0,735,2.0123203285420943
CPP,2006-04-17,,,2.5,1.0,1.0,2.5,742,2.0314852840520192
CPP,2006-04-24,,,2.5,1.0,1.0,2.5,749,2.0506502395619437
CPP,2006-05-22,,,2.5,1.0,1.0,2.5,777,2.127310061601643
CPP,2006-05-29,,,1.0,1.0,1.0,1.0,784,2.1464750171115674
CPP,2006-06-05,,,1.0,1.0,1.0,1.0,791,2.1656399726214923
CPP,2006-06-19,,,1.0,1.0,1.0,1.0,805,2.2039698836413417
CPP,2006-06-26,,,1.0,1.0,1.0,1.0,812,2.223134839151266
CPP,2006-07-03,,,1.0,1.0,1.0,1.0,819,2.242299794661191
CPP,2006-07-10,,,1.0,1.0,1.0,1.0,826,2.2614647501711156
CPP,2006-07-17,,,1.0,1.0,1.0,1.0,833,2.2806297056810405
CPP,2006-07-24,,,1.0,1.0,1.0,1.0,840,2.299794661190965
